# EUC,SJIS
0xa9c4,0x8563
0xa9c5,0x8564
0xa9c6,0x8565
0xa9c7,0x8566
0xa9c8,0x8567
0xa9c9,0x8568
0xa9ca,0x8569
0xa9cb,0x856a
0xa9cc,0x856b
0xa9cd,0x856c
0xa9ce,0x856d
0xa9cf,0x856e
0xa9d0,0x856f
0xa9d1,0x8570
0xa9d2,0x8571
0xa9d3,0x8572
0xa9d4,0x8573
0xa9d5,0x8574
0xa9d6,0x8575
0xa9d7,0x8576
0xa9d8,0x8577
0xa9d9,0x8578
0xa9da,0x8579
0xa9db,0x857a
0xa9dc,0x857b
0xa9dd,0x857c
0xa9de,0x857d
0xa9df,0x857e
0xa9e0,0x8580
0xa9e1,0x8581
0xa9e2,0x8582
0xa9e3,0x8583
0xa9e4,0x8584
0xa9e5,0x8585
0xa9e6,0x8586
0xa9e7,0x8587
0xa9e8,0x8588
0xa9e9,0x8589
0xa9ea,0x858a
0xa9eb,0x858b
0xa9ec,0x858c
0xa9ed,0x858d
0xa9ee,0x858e
0xa9ef,0x858f
0xa9f0,0x8590
0xa9f1,0x8591
0xa9f2,0x8592
0xa9f3,0x8593
0xa9f4,0x8594
0xa9f5,0x8595
0xa9f6,0x8596
0xa9f7,0x8597
0xa9f8,0x8598
0xa9f9,0x8599
0xa9fa,0x859a
0xa9fb,0x859b
0xa9fc,0x859c
0xa9fd,0x859d
0xa9fe,0x859e
0xaaa1,0x859f
0xaaa2,0x85a0
0xaaa3,0x85a1
0xaaa4,0x85a2
0xaaa5,0x85a3
0xaaa6,0x85a4
0xaaa7,0x85a5
0xaaa8,0x85a6
0xaaa9,0x85a7
0xaaaa,0x85a8
0xaaab,0x85a9
0xaaac,0x85aa
0xaaad,0x85ab
0xaaae,0x85ac
0xaaaf,0x85ad
0xaab0,0x85ae
0xaab1,0x85af
0xaab2,0x85b0
0xaab3,0x85b1
0xaab4,0x85b2
0xaab5,0x85b3
0xaab6,0x85b4
0xaab7,0x85b5
0xaab8,0x85b6
0xaab9,0x85b7
0xaaba,0x85b8
0xaabb,0x85b9
0xaabc,0x85ba
0xaabd,0x85bb
0xaabe,0x85bc
0xaabf,0x85bd
0xaac0,0x85be
0xaac1,0x85bf
0xaac2,0x85c0
0xaac3,0x85c1
0xaac4,0x85c2
0xaac5,0x85c3
0xaac6,0x85c4
0xaac7,0x85c5
0xaac8,0x85c6
0xaac9,0x85c7
0xaaca,0x85c8
0xaacb,0x85c9
0xaacc,0x85ca
0xaacd,0x85cb
0xaace,0x85cc
0xaacf,0x85cd
0xaad0,0x85ce
0xaad1,0x85cf
0xaad2,0x85d0
0xaad3,0x85d1
0xaad4,0x85d2
0xaad5,0x85d3
0xaad6,0x85d4
0xaad7,0x85d5
0xaad8,0x85d6
0xaad9,0x85d7
0xaada,0x85d8
0xaadb,0x85d9
0xaadc,0x85da
0xaadd,0x85db
0xaade,0x85dc
0xaadf,0x85dd
0xaae0,0x85de
0xaae1,0x85df
0xaae2,0x85e0
0xaae3,0x85e1
0xaae4,0x85e2
0xaae5,0x85e3
0xaae6,0x85e4
0xaae7,0x85e5
0xaae8,0x85e6
0xaae9,0x85e7
0xaaea,0x85e8
0xaaeb,0x85e9
0xaaec,0x85ea
0xaaed,0x85eb
0xaaee,0x85ec
0xaaef,0x85ed
0xaaf0,0x85ee
0xaaf1,0x85ef
0xaaf2,0x85f0
0xaaf3,0x85f1
0xaaf4,0x85f2
0xaaf5,0x85f3
0xaaf6,0x85f4
0xaaf7,0x85f5
0xaaf8,0x85f6
0xaaf9,0x85f7
0xaafa,0x85f8
0xaafb,0x85f9
0xaafc,0x85fa
0xaafd,0x85fb
0xaafe,0x85fc
0xaba1,0x8640
0xaba2,0x8641
0xaba3,0x8642
0xaba4,0x8643
0xaba5,0x8644
0xaba6,0x8645
0xaba7,0x8646
0xaba8,0x8647
0xaba9,0x8648
0xabaa,0x8649
0xabab,0x864a
0xabac,0x864b
0xabad,0x864c
0xabae,0x864d
0xabaf,0x864e
0xabb0,0x864f
0xabb1,0x8650
0xabb2,0x8651
0xabb3,0x8652
0xabb4,0x8653
0xabb5,0x8654
0xabb6,0x8655
0xabb7,0x8656
0xabb8,0x8657
0xabb9,0x8658
0xabba,0x8659
0xabbb,0x865a
0xabbc,0x865b
0xabbd,0x865c
0xabbe,0x865d
0xabbf,0x865e
0xabc0,0x865f
0xabc1,0x8660
0xabc2,0x8661
0xabc3,0x8662
0xabc4,0x8663
0xabc5,0x8664
0xabc6,0x8665
0xabc7,0x8666
0xabc8,0x8667
0xabc9,0x8668
0xabca,0x8669
0xabcb,0x866a
0xabcc,0x866b
0xabcd,0x866c
0xabce,0x866d
0xabcf,0x866e
0xabd0,0x866f
0xabd1,0x8670
0xabd2,0x8671
0xabd3,0x8672
0xabd4,0x8673
0xabd5,0x8674
0xabd6,0x8675
0xabd7,0x8676
0xabd8,0x8677
0xabd9,0x8678
0xabda,0x8679
0xabdb,0x867a
0xabdc,0x867b
0xabdd,0x867c
0xabde,0x867d
0xabdf,0x867e
0xabe0,0x8680
0xabe1,0x8681
0xabe2,0x8682
0xabe3,0x8683
0xabe4,0x8684
